filerange 2550 5599

rangestart 2550 5599

2550	CIENIE
2551	W£•CZ CIENIE STATKU
2552	JAKOå∆ EFEKT”W USZKODZE—
2553	WYBIERZ POZIOM DETALI EFEKT”W USZKODZE— STATK”W
2554	JAKOå∆ HIPERPRZESTRZENI
2555	USTAW JAKOå∆ EFEKT”W HIPERPRZESTRZENI
2556	DETALE OåWIETLENIA
2557	USTAW POZIOM DETALI åWIATE£
2558	GEOMETRIA SZCZEG”£OWA
2559	W£•CZ LUB WY£•CZ WYåWIETLANIE GEOMETRII SZCZEG”£OWEJ
2560	SKALOWANIE GEOMETRII
2561	W£•CZ LUB WY£•CZ DYNAMICZN• REDUKCJ  GEOMETRII
2562	AKTUALIZACJE
2563	INFORMACJE O AKTUALIZACJACH


// default name suffix for new profile
2564	Gracz

2565	ZAST•P : %d
2566	Kolejka statkÛw (pusta)
2567	Kolejka podsystemÛw (pusta)

// subsys hardpoints
2568	%d / %d

// unit caps (<c> is the text color tag)
2569	<c=%06x>%d</c><c=000000> / %d</c>

2570	Kolejka badaÒ (pusta)

// CPU difficulty
2571	Niski
2572	Normalny
2573	Wysoki
2574	Ekspert
2575	Komputer
2576	Otwarty
2577	Zamknij
2578	Cz≥owiek


// Some general strings
2600	HOMEWORLD 2
2601	SZYBKIE ROZPOCZ CIE (GRACZ KONTRA KOMPUTER)
2602	SAMOUCZEK
2603	TRYB DLA POJEDYNCZEGO GRACZA
2604	GRACZ KONTRA KOMPUTER
2605	POSZUKAJ AKTUALIZACJI
2607	OPCJE
2608	FILMY
2609	WYJåCIE
2610	WSTECZ
2611	DALEJ
2612	OK
2613	ANULUJ
2614	TRYB WIELOOSOBOWY
2615	WCZYTYWANIE
2616	PROFILE GRACZA
2617	MENU G£”WNE
2618	WYBIERZ//
2619	AKCEPTUJ


// Build manager
2620	MENU BUDOWY

2623	POMOCNICZE (%s)
2624	KORWETY (%s)
2625	G£”WNE (%s)

2627	MYåLIWCE (%s)
2628	FREGATY (%s)
2629	PLATFORMY (%s)
2630	POKAØ WSZYSTKIE SEKCJE (%s)

2631	BUDUJ
2632	KOLEJNE STATKI

2633	KOLEJKA BUDOWY//
2634	PAUZA (%s)
2635	ANULUJ WSZYSTKO (%s)
2636	ANULUJ (%s)
2637	ZBUDOWANE

// this used to be "RU %d" but there is not enough room for the RU in the UI
2640	%d

2641	%s x%d
2642	ZAMKNIJ

2643	PODSYSTEMY MODU£”W (%s)
2644	PODSYSTEMY CZUJNIK”W (%s)

// Build queue
2655	(brak zadania budowy)
2656	KOLEJKA PODSYSTEM”W//

// Launch manager
2660	MENU STARTU

2662	POZOSTA∆ W DOKACH
2663	AUTOMATYCZNY START
2664	START WYBRANYCH OKR T”W
2665	START WSZYSTKICH OKR T”W
2666	STATKI W DOKACH
2667	%d/%d

// patch Screen
2670	POST P POBIERANIA
2671	STAN POBIERANIA
2672	WYBIERZ MIEJSCE POBIERANIA
2673	POBIERZ AKTUALIZACJ  ZE WSKAZANEGO MIEJSCA
2674	DODATKOWE INFORMACJE O POBIERANIU POPRAWKI
// serverlobby.lua
2675	SORTOWANIE WG NAZWY GRUPY
2676	SORTOWANIE WG LICZBY SESJI GIER
2677	SORTOWANIE WG LICZBY GRACZY
2678	DO£•CZ DO WYBRANEJ GRUPY
2679	ODåWIEØ LIST  WYåWIETLANYCH GRUP

// FONTS
2684	Arial
2685	Default
2686	EuroseCond10
2687	ITC Officina Sans Bold8
2688	ITC Officina Sans Book82685	
